authors,published_parsed,summary,arxiv_primary_category,weights,pagenum,refnum,category
"[u'Bernard Shiffman', u'Steve Zelditch']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=19, tm_hour=4, tm_min=10, tm_sec=13, tm_wday=2, tm_yday=19, tm_isdst=0)","The spaces $H^0(M, L^N)$ of holomorphic sections of the powers of an ample
line bundle $L$ over a compact K\""ahler manifold $(M,\omega)$ have been
generalized by Boutet de Monvel and Guillemin to spaces $H^0_J(M, L^N)$ of
`almost holomorphic sections' of ample line bundles over an almost complex
symplectic manifold $(M, J, \omega)$. We consider the unit spheres $SH^0_J(M,
L^N)$ in the spaces $H^0_J(M, L^N)$, which we equip with natural inner
products. Our purpose is to show that, in a probabilistic sense, almost
holomorphic sections behave like holomorphic sections as $N \to \infty$. Our
first main result is that almost all sequences of sections $s_N \in SH^0_J(M,
L^N)$ are `asymptotically holomorphic' in the Donaldson-Auroux sense that
$||s_N||_{\infty}/||s_N||_{2} = O(\sqrt{\log N})$, $||\bar{\partial}
s_N||_{\infty}/||s_N||_{2} = O(\sqrt{\log N})$ and $||\partial
s_N||_{\infty}/||s_N||_{2} = O(\sqrt{N \log N})$. Our second main result
concerns the joint probability distribution of the random variables $s_N(z^p),\
\nabla s_N(z^p)$, $1\le p\le n$, for $n$ distinct points $z^1,..., z^n$ in a
neighborhood of a point $P_0\in M$. We show that this joint distribution has a
universal scaling limit about $P_0$ as $N \to \infty$. In particular, the limit
is precisely the same as in the complex holomorphic case. Our methods involve
near-diagonal scaling asymptotics of the Szeg\""o projector $\Pi_N$ onto
$H^0_J(M, L^N)$, which also yields proofs of symplectic analogues of the
Kodaira embedding theorem and Tian asymptotic isometry theorem.","{'term': u'math.SG', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,44,26,math.SG
[u'Yuval Grossman'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=21, tm_hour=19, tm_min=37, tm_sec=54, tm_wday=4, tm_yday=21, tm_isdst=0)","The smallness and hierarchy of the fermion parameters could be explained in
theories with extra dimensions where doublets and singlets are localized at
slightly separated points. Scattering cross sections for collisions of such
fermions vanish exponentially at energies high enough to probe the separation
distance. This is because the separation puts a lower bound on the attainable
impact parameter in the collision. The NLC, and in particular the combination
of the e^+e^- and e^-e^- modes, can probe this scenario, even if the inverse
fermion separation is of order tens of TeVs.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,9,12,hep-ph
"[u'G. Grindhammer', u'S. Peters']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=10, tm_hour=10, tm_min=57, tm_sec=37, tm_wday=0, tm_yday=10, tm_isdst=0)","A general approach to a fast simulation of electromagnetic showers using
parameterizations of the longitudinal and radial profiles in homogeneous and
sampling calorimeters is described. The dependence of the shower development on
the materials used and the sampling geometry is taken into account explicitly.
Comparisons with detailed simulations of various calorimeters and with data
from the liquid argon calorimeter of the H1 experiment are made.","{'term': u'hep-ex', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,42,25,hep-ex
"[u'Richard Lieu', u'Massimiliano Bonamente', u'Jonathan P. D. Mittaz']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=8, tm_hour=6, tm_min=1, tm_sec=1, tm_wday=5, tm_yday=8, tm_isdst=0)","Various independent ways of constraining the Hubble constant and the baryonic
content of the universe finally converged at a consensus range of values which
indicates that at the present epoch the bulk of the universe's baryons is in
the form of a warm $\sim$ 10$^6$ K gas - a temperature regime which renders
them difficult to detect. The discovery of EUV and soft X-ray excess emission
from clusters of galaxies was originally interpreted as the first direct
evidence for the large scale presence of such a warm component. We present
results from an EUVE Deep Survey (DS) observation of the rich cluster Abell
2199 in the Lex/B (69 - 190 eV) filter passband. The soft excess radial trend
(SERT), shown by a plot against cluster radius $r$ of the percentage EUV
emission $\eta$ observed above the level expected from the hot intracluster
medium (ICM), reveals that $\eta$ is a simple function of $r$ which decreases
monotonically towards $r = 0$; it smoothly turns negative at $r \sim$ 6 arcmin,
inwards of this radius the EUV is absorbed by cold matter with a line-of-sight
column density of $\geq$ 2.7 $\times$ 10$^{19}$ cm$^{-2}$. The area of
absorption is much larger than that of the cooling flow. These facts together
provide strong evidence for a centrally concentrated but cluster-wide
distribution of clumps of cold gas which co-exist with warm gas of similar
spatial properties. Further, the simultaneous modeling of EUV and X-ray data
requires a warm component even within the region of absorption. The phenomenon
demonstrates a three phase ICM, with the warm phase estimated to be $\sim$ 5-10
times more massive than the hot.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,13,14,astro-ph
[u'W. Cassing'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=13, tm_min=10, tm_sec=5, tm_wday=3, tm_yday=27, tm_isdst=0)","We briefly review the dilepton experiments at BEVALAC/SIS and SPS energies
for p+p, p+A and A+A collisions as well as our present understanding of the
data within transport theoretical simulations. Since dileptons from p+A and A+A
collisions in particular probe the in-medium spectral functions of vector
mesons, a novel semiclassical off-shell transport approach is introduced on the
basis of the Kadanoff-Baym equations that describes the dynamical evolution of
broad hadron spectral functions. The implications of the off-shell dynamics --
relative to the conventional on-shell transport dynamics -- are discussed for
proton spectra, high energy $\gamma$, pion, kaon and antikaon production from
GANIL to AGS energies in comparison to experimental data.","{'term': u'nucl-th', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,9,30,nucl-th
"[u'Gregory Mahlon', u'Stephen Parke']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=19, tm_hour=22, tm_min=37, tm_sec=55, tm_wday=2, tm_yday=19, tm_isdst=0)","The top quark pairs produced at a polarized muon collider are in a (nearly)
pure spin configuration. This result holds for all center-of-mass energies, and
is insensitive to the next-to-leading order QCD radiative corrections. The
decay products of a polarized top quark show strong angular correlations. We
describe an interesting interference effect between the left-handed and
longitudinally polarized W bosons in top quark decay. This effect is easily
observable in the angular distribution of the charged lepton with respect to
the beam axis.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,6,11,hep-ph
"[u'Benjamin Baran', u'Marcos Villagra']","time.struct_time(tm_year=2016, tm_mon=5, tm_mday=10, tm_hour=19, tm_min=5, tm_sec=12, tm_wday=1, tm_yday=131, tm_isdst=0)","In this work we present a quantum algorithm for multiobjective combinatorial
optimization. We show how to map a convex combination of objective functions
onto a Hamiltonian and then use that Hamiltonian to prove that the quantum
adiabatic algorithm of Farhi \emph{et al.} [arXiv:quant-ph/0001106] can find
Pareto-optimal solutions in finite time provided certain convex combinations of
objectives are used and the underlying multiobjective problem meets certain
restrictions.","{'term': u'cs.DS', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,24,8,cs.DS
"[u'F. Tesch', u'D. Engels']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=28, tm_hour=13, tm_min=12, tm_sec=42, tm_wday=4, tm_yday=28, tm_isdst=0)","We have examined the spatial distribution of 856 AGN detected by the ROSAT
All-Sky Survey (RASS) using a direct search for structures with the minimal
spanning tree. The AGNs were compiled from an area of 7000 deg^2, in which
optical identifications of RASS sources were made with the help of the
digitized objective prism plates of the Hamburg Quasar Survey (HQS). Redshifts
were taken from the literature or from own follow-up observations. The sample
probes the spatial distribution at low redshifts, since the redshift
distribution peaks at z=0.1. The application of the minimal spanning tree led
to a 1.8 sigma discovery of an AGN group with 7 members in a volume V=140*75*75
h^-3Mpc^3 in the Pisces constellation. With a mean redshift z=0.27 this group
is only the third discovered group at redshifts z<0.5. The RASS offers
excellent possibilities to study large scale structure with AGNs at low
redshifts, once these redshifts are determined.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,6,53,astro-ph
"[u'V. Avila-Reese', u'C. Firmani']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=24, tm_hour=2, tm_min=3, tm_sec=3, tm_wday=0, tm_yday=24, tm_isdst=0)","We used galaxy evolutionary models in a hierarchical inside-out formation
scenario to study the origin of the main properties and correlations of disk
galaxies. We found that most of these properties and correlations are the
result of three (cosmological) initial factors and their dispersions: the
virial mass, the halo mass aggregation history (MAH), and the angular momentum
given through the spin parameter \lambda. The MAH determines mainly the halo
structure and the color indexes while \lambda determines mainly the surface
brightness and the bulge-to-disk ratio. We calculated star formation (SF) using
a gravitational instability criterion and a self-regulation mechanism in the
turbulent ISM. The efficiency of SF in this model is almost independent from
the mass. We show that the luminosity-dependent dust absorption empirically
determined by Wang & Heckman explains the observed color-magnitude and color
Tully-Fisher (TF) relations without the necessity of introducing a
mass-dependent SF efficiency. The disks in centrifugal equilibrium form within
growing CDM halos with a gas accretion rate proportional to the MAH. The disks
present exponential surface density and brightness profiles, negative radial
color index gradients, and nearly flat rotation curves. We also calculated the
secular formation of a bulge due to gravitational instabilities in the stellar
disk. The intensive properties of our models agree with the observational data
and the trends of the Hubble sequence are reproduced. The predicted infrared TF
and luminosity-radius relations also agree with observations. The main
shortcomings of our inside-out hierarchical models are the excessive radial
color gradients and the dark halo dominion in the rotation curve
decompositions.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,23,181,astro-ph
"[u'H. Kawamura', u'K. Hukushima']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=11, tm_hour=3, tm_min=19, tm_sec=36, tm_wday=1, tm_yday=11, tm_isdst=0)","Spin-glass and chiral-glass orderings of a three-dimensional isotropic
Heisenberg spin glass are studied both by equilibrium and off-equilibrium Monte
Carlo simulations with emphasis on their dynamical aspects. The model is found
to exhibit a finite-temperature chiral-glass transition without the
conventional spin-glass order. Although chirality is an Ising-like quantity
from symmetry, universality class of the chiral-glass transition appears to be
different from that of the standard Ising spin glass. In the off-equilibrium
simulation, while the spin autocorrelation exhibits only an interrupted aging,
the chirality autocorrelation persists to exhibit a pronounced aging effect
reminiscent of the one observered in the mean-field model.","{'term': u'cond-mat.dis-nn', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,10,37,cond-mat.dis-nn
"[u'Guo Xin Chen', u'Anil K. Pradhan']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=6, tm_hour=16, tm_min=38, tm_sec=42, tm_wday=3, tm_yday=6, tm_isdst=0)","Fluorescent excitation of spectral lines is demonstrated as a function of
temperature-luminosity and the distance of the emitting region from the central
stars of planetary nebulae. The electron densities and temperatures are
determined, and the method is exemplified through a detailed analysis of
spectral observations of a high excitation PN, NGC 6741, observed by Hyung and
Aller(1997). Fluorescence should also be important in the determination of
element abundances. It is suggested that the method could be generally applied
to determine or constrain the luminosity and the region of spectral emission in
other intensively radiative sources such as novae, supernovae, and active
galactic nuclei.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,9,27,astro-ph
[u'Burton Richter'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=4, tm_hour=22, tm_min=14, tm_sec=41, tm_wday=1, tm_yday=4, tm_isdst=0)","My assignment at this conference is to assess where we are in high-energy
physics and speculate on where we might be going. This frees me from any
obligation to summarize all that went on here and allows me to talk just about
those topics that interest me the most at this time. I will let my prejudices
show and talk a bit about physics in general, CP violation, neutrinos,
accelerators, non-accelerator experiments, and even theory.","{'term': u'hep-ex', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,28,20,hep-ex
"[u'S. Bondarenko', u'E. Gotsman', u'E. Levin', u'U. Maor']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=25, tm_hour=15, tm_min=21, tm_sec=57, tm_wday=1, tm_yday=25, tm_isdst=0)","We formulate a generalization of the Glauber formalism for hadron-nucleus and
nucleus-nucleus collisions based on the Pomeron approach to high energy
interactions. Our treatment is based on two physical assumptions (i.e. two
small parameters) : (i) that only sufficiently small distances contribute to
the Pomeron structure; and (ii) the triple Pomeron vertex $G_{3P}/g_{P-N}
  \ll 1$ (where $g_{P-N}$ is the Pomeron-nucleon vertex) is small. A systematic
method is developed for calculating the total, elastic and diffractive
dissociation cross sections as well as the survival probability of large
rapidity gap processes and inclusive observables, both for hadron - nucleus and
nucleus-nucleus collisions. Our approach suggests saturation of the density of
the produced hadrons in nucleus-nucleus collisions, the value of the saturation
density turns out to be large and depends on the number of nucleons in the
lightest nucleus.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,54,83,hep-ph
"[u'L. Biferale', u'P. Gualtieri', u'F. Toschi']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=17, tm_hour=17, tm_min=14, tm_sec=32, tm_wday=0, tm_yday=17, tm_isdst=0)","Some pressure and pressure-velocity correlation in a direct numerical
simulations of a three-dimensional turbulent flow at moderate Reynolds numbers
have been analyzed. We have identified a set of pressure-velocity correlations
which posseses a good scaling behaviour. Such a class of pressure-velocity
correlations are determined by looking at the energy-balance across any
sub-volume of the flow. According to our analysis, pressure scaling is
determined by the dimensional assumption that pressure behaves as a ``velocity
squared'', unless finite-Reynolds effects are overwhelming. The SO(3)
decompositions of pressure structure functions has also been applied in order
to investigate anisotropic effects on the pressure scaling.","{'term': u'nlin.CD', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,21,26,nlin.CD
"[u'M. J. P. Gingras', u'B. C. den Hertog', u'M. Faucher', u'J. S. Gardner', u'L. J. Chang', u'B. D. Gaulin', u'N. P. Raju', u'J. E. Greedan']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=21, tm_hour=15, tm_min=29, tm_sec=12, tm_wday=4, tm_yday=21, tm_isdst=0)","In a recent letter [Phys. Rev. Lett. {\bf 82}, 1012 (1999)] it was found that
the Tb$^{3+}$ magnetic moments in the Tb$_2$Ti$_2$O$_7$ pyrochlore lattice of
corner-sharing tetrahedra remain in a {\it collective paramagnetic} state down
to 70mK. In this paper we present results from d.c. magnetic susceptibility,
specific heat data, inelastic neutron scattering measurements, and crystal
field calculations that strongly suggest that (1) the Tb$^{3+}$ ions in
Tb$_2$Ti$_2$O$_7$ possess a moment of approximatively 5$\mu_{\rm B}$, and (2)
the ground state $g-$tensor is extremely anisotropic below a temperature of
$O(10^0)$K, with Ising-like Tb$^{3+}$ magnetic moments confined to point along
a local cubic $<111>$ diagonal (e.g. towards the middle of the tetrahedron).
Such a very large easy-axis Ising like anisotropy along a $<111>$ direction
dramatically reduces the frustration otherwise present in a Heisenberg
pyrochlore antiferromagnet. The results presented herein underpin the
conceptual difficulty in understanding the microscopic mechanism(s) responsible
for Tb$_2$Ti$_2$O$_7$ failing to develop long-range order at a temperature of
the order of the paramagnetic Curie-Weiss temperature $\theta_{\rm CW} \approx
-10^1$K. We suggest that dipolar interactions and extra perturbative exchange
coupling(s)beyond nearest-neighbors may be responsible for the lack of ordering
of Tb$_2$Ti$_2$O$_7$.","{'term': u'cond-mat.dis-nn', 'scheme': u'http://arxiv.org/schemas/atom'}",0.14285714285714285,18,84,cond-mat.dis-nn
